+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                   ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; x1|key_avsb_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                   ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|key_avsb_s1_translator_avalon_universal_slave_0_agent                                                                                                                                ; 273   ; 40             ; 44           ; 40             ; 289    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                        ; 137   ; 76             ; 0            ; 76             ; 133    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                    ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb_s1_translator_avalon_universal_slave_0_agent                                                                                                                                 ; 273   ; 40             ; 44           ; 40             ; 289    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                  ; 137   ; 76             ; 0            ; 76             ; 133    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                                              ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                                           ; 273   ; 40             ; 44           ; 40             ; 289    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                            ; 137   ; 76             ; 0            ; 76             ; 133    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                        ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb_s1_translator_avalon_universal_slave_0_agent                                                                                                                     ; 273   ; 40             ; 44           ; 40             ; 289    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                 ; 137   ; 76             ; 0            ; 76             ; 133    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                                             ; 34    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                                          ; 273   ; 40             ; 44           ; 40             ; 289    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_data_master_translator_avalon_universal_master_0_agent                                                                                                               ; 166   ; 38             ; 69           ; 38             ; 132    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_instruction_master_translator_avalon_universal_master_0_agent                                                                                                        ; 166   ; 38             ; 69           ; 38             ; 132    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|hex0_avsb_s1_translator|ledr_avsb_s1_translator                                                                                                                                      ; 102   ; 21             ; 19           ; 21             ; 84     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|hex0_avsb_s1_translator                                                                                                                                                              ; 102   ; 21             ; 0            ; 21             ; 84     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|ledr_avsb_s1_translator|ledr_avsb_s1_translator                                                                                                                                      ; 102   ; 21             ; 19           ; 21             ; 84     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|ledr_avsb_s1_translator                                                                                                                                                              ; 102   ; 21             ; 0            ; 21             ; 84     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|key_avsb_s1_translator|sw_avsb_s1_translator                                                                                                                                         ; 102   ; 55             ; 19           ; 55             ; 84     ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|key_avsb_s1_translator                                                                                                                                                               ; 102   ; 55             ; 0            ; 55             ; 84     ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb_s1_translator|sw_avsb_s1_translator                                                                                                                                          ; 102   ; 55             ; 19           ; 55             ; 84     ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb_s1_translator                                                                                                                                                                ; 102   ; 55             ; 0            ; 55             ; 84     ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb_avalon_jtag_slave_translator|jtag_uart_avsb_avalon_jtag_slave_translator                                                                                              ; 102   ; 19             ; 20           ; 19             ; 83     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb_avalon_jtag_slave_translator                                                                                                                                          ; 102   ; 19             ; 0            ; 19             ; 83     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb_s1_translator|onchip_memory2_avsb_s1_translator                                                                                                                  ; 102   ; 23             ; 4            ; 23             ; 102    ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb_s1_translator                                                                                                                                                    ; 102   ; 22             ; 0            ; 22             ; 102    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_jtag_debug_module_translator|nios2_qsys_avsb_jtag_debug_module_translator                                                                                            ; 102   ; 21             ; 9            ; 21             ; 97     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_jtag_debug_module_translator                                                                                                                                         ; 102   ; 21             ; 0            ; 21             ; 97     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_data_master_translator|nios2_qsys_avsb_data_master_translator                                                                                                        ; 103   ; 19             ; 0            ; 19             ; 100    ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_data_master_translator                                                                                                                                               ; 103   ; 16             ; 0            ; 16             ; 100    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_instruction_master_translator|nios2_qsys_avsb_instruction_master_translator                                                                                          ; 103   ; 58             ; 0            ; 58             ; 100    ; 58              ; 58            ; 58              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb_instruction_master_translator                                                                                                                                        ; 103   ; 54             ; 0            ; 54             ; 100    ; 54              ; 54            ; 54              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|hex0_avsb                                                                                                                                                                            ; 38    ; 25             ; 25           ; 25             ; 39     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|ledr_avsb                                                                                                                                                                            ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|key_avsb                                                                                                                                                                             ; 8     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|sw_avsb                                                                                                                                                                              ; 12    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r|rfifo|auto_generated                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_r                                                                                                                             ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w|wfifo|auto_generated                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb|the_aula2910_qsys_jtag_uart_avsb_scfifo_w                                                                                                                             ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|jtag_uart_avsb                                                                                                                                                                       ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb|the_altsyncram|auto_generated|mux2                                                                                                                               ; 98    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb|the_altsyncram|auto_generated|deep_decode                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
